sep=;
Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;646,19;648,88;;;672,35;;652,23;628,89;;;645,32
2;;646,97;650,98;;665,41;672,37;;651,93;;637,93;636,80;
3;669,47;643,18;654,11;663,97;666,95;;664,29;652,77;;640,52;631,97;
4;673,36;;;658,16;668,98;;661,95;650,17;624,20;635,79;;648,78
5;671,78;;;661,42;673,89;670,41;663,36;;624,68;630,67;;648,21
6;666,41;641,80;655,57;657,74;;668,89;665,94;;621,55;628,84;630,81;652,52
7;;639,35;658,71;656,51;;668,70;666,22;649,88;620,59;;632,97;653,82
8;;646,06;660,02;;674,88;668,36;;650,52;615,58;;633,72;
9;665,29;646,58;661,65;;676,32;666,28;;649,53;;;631,80;
10;670,35;646,82;664,84;656,47;679,05;;666,61;649,50;;633,32;631,46;
11;670,94;;;654,22;672,92;;666,53;647,42;618,36;628,80;;655,27
12;671,69;;;652,80;671,55;664,47;666,59;;621,69;626,77;;655,53
13;663,01;642,62;663,40;653,65;;661,63;663,46;;624,31;624,99;630,61;655,74
14;;642,40;665,43;;;662,19;660,71;647,77;626,12;;632,43;649,40
15;;641,89;669,07;;671,03;659,46;;;627,26;;630,59;641,05
16;660,13;639,93;669,52;;668,03;665,23;;647,59;;622,13;631,90;
17;661,38;638,35;661,20;650,00;666,26;;658,18;645,86;;619,68;630,41;
18;657,85;;;647,47;668,62;;656,92;645,29;;622,07;;638,37
19;658,91;;;;675,80;663,73;656,01;;;625,03;;622,86
20;660,18;643,49;661,15;647,68;;662,47;653,71;;625,53;625,55;629,21;620,62
21;;642,21;662,35;649,26;;663,76;651,56;646,57;621,87;;636,71;620,58
22;;643,63;657,83;;670,30;664,54;;642,73;623,94;;635,72;620,54
23;659,49;641,51;662,84;;668,21;664,00;;641,47;;628,68;634,82;
24;652,92;640,36;662,42;650,65;672,40;;651,82;641,47;;630,97;634,23;
25;653,84;;;653,71;674,27;;650,65;638,64;623,85;631,96;;
26;650,98;;;660,04;669,42;;648,77;;628,37;631,12;;622,11
27;648,31;645,66;661,64;665,35;;661,72;648,75;;633,37;;633,66;619,03
28;;645,19;663,74;664,28;;662,09;647,99;636,61;638,28;;635,80;616,58
29;;;666,04;;670,25;662,36;;630,33;636,85;;641,09;615,22
30;649,92;;663,61;;674,02;663,21;;626,68;;629,62;642,41;
31;648,87;;662,66;;675,31;;651,58;628,36;;636,49;;
Promedio;661,19;643,21;661,20;655,74;671,54;665,15;658,17;644,24;625,54;629,55;633,77;638,13
